Tijdstempel	E-mailadres	Datum	Start tijd	Eind tijd	Spot	Hoe goed was de surf?	Hoe was de surf? Alleen invullen bij een nat pak (: [Mellow]	Type data	Type board	Hoe was de surf? Alleen invullen bij een nat pak (: [Clean]	Hoe was de surf? Alleen invullen bij een nat pak (: [Krachtig]	Hoe was de surf? Alleen invullen bij een nat pak (: [Lange ritjes]	Hoe was de surf? Alleen invullen bij een nat pak (: [Stijle golven]	Hoe was de surf? Alleen invullen bij een nat pak (: [Stroming]	Hoe was de surf? Alleen invullen bij een nat pak (: [Crowd]	Hoe was de surf? Alleen invullen bij een nat pak (: [Hoog]	Hoe was de surf? Alleen invullen bij een nat pak (: [Windy]	Hoe hoog was het?	Hoe was de surf? Alleen invullen bij een nat pak (: [Voor beginners]	Best geschikt voor ...	Data comments
28-11-2024		17-6-2024	16:45	17:15	Wijk aan zee	3		Webcam	Shortboard												Pim stuurde 17-06-2024 naar zichzelf: 17:15 wijk ziet er inimini uit, ook ver van de pier. Beachcam bloemendaal ziet er ook mini uit
28-11-2024		17-6-2024	16:45	17:15	Wijk aan zee	3		Webcam	Fish of funboard												Pim stuurde 17-06-2024 naar zichzelf: 17:15 wijk ziet er inimini uit, ook ver van de pier. Beachcam bloemendaal ziet er ook mini uit
28-11-2024		17-6-2024	16:45	17:15	Wijk aan zee	3		Webcam	Longboard												Pim stuurde 17-06-2024 naar zichzelf: 17:15 wijk ziet er inimini uit, ook ver van de pier. Beachcam bloemendaal ziet er ook mini uit
28-11-2024		17-6-2024	16:45	17:15	IJmuiden	3		Schatting a.d.h.v. webcam	Shortboard												Pim stuurde 17-06-2024 naar zichzelf: 17:15 wijk ziet er inimini uit, ook ver van de pier. Beachcam bloemendaal ziet er ook mini uit
28-11-2024		17-6-2024	16:45	17:15	IJmuiden	3		Schatting a.d.h.v. webcam	Fish of funboard												Pim stuurde 17-06-2024 naar zichzelf: 17:15 wijk ziet er inimini uit, ook ver van de pier. Beachcam bloemendaal ziet er ook mini uit
28-11-2024		17-6-2024	16:45	17:15	IJmuiden	3		Schatting a.d.h.v. webcam	Longboard												Pim stuurde 17-06-2024 naar zichzelf: 17:15 wijk ziet er inimini uit, ook ver van de pier. Beachcam bloemendaal ziet er ook mini uit
28-11-2024		17-6-2024	16:45	17:15	Bloemendaal	3		Webcam	Shortboard												Pim stuurde 17-06-2024 naar zichzelf: 17:15 wijk ziet er inimini uit, ook ver van de pier. Beachcam bloemendaal ziet er ook mini uit
28-11-2024		17-6-2024	16:45	17:15	Bloemendaal	3		Webcam	Fish of funboard												Pim stuurde 17-06-2024 naar zichzelf: 17:15 wijk ziet er inimini uit, ook ver van de pier. Beachcam bloemendaal ziet er ook mini uit
28-11-2024		17-6-2024	16:45	17:15	Bloemendaal	3		Webcam	Longboard												Pim stuurde 17-06-2024 naar zichzelf: 17:15 wijk ziet er inimini uit, ook ver van de pier. Beachcam bloemendaal ziet er ook mini uit
28-11-2024		18-6-2024	13:45	14:15	Wijk aan zee	6,5		Webcam	Longboard	Heel erg											Pim stuurde 18-06 naar zichzelf: Wijk aan zee ziet er klein uit, wel heeeeel clean en weinig wind. 6 voor longboarders? 3 voor fish en short? 14:00. 6.5 voor longboarders zelfs, lagen 2 longboarders die mini golven pakten
28-11-2024		18-6-2024	13:45	14:15	Wijk aan zee	3		Webcam	Fish of funboard	Heel erg											Pim stuurde 18-06 naar zichzelf: Wijk aan zee ziet er klein uit, wel heeeeel clean en weinig wind. 6 voor longboarders? 3 voor fish en short? 14:00. 6.5 voor longboarders zelfs, lagen 2 longboarders die mini golven pakten
28-11-2024		18-6-2024	13:45	14:15	Wijk aan zee	3		Webcam	Shortboard	Heel erg											Pim stuurde 18-06 naar zichzelf: Wijk aan zee ziet er klein uit, wel heeeeel clean en weinig wind. 6 voor longboarders? 3 voor fish en short? 14:00. 6.5 voor longboarders zelfs, lagen 2 longboarders die mini golven pakten
28-11-2024		20-6-2024	7:30	8:00	Wijk aan zee	8		Webcam	Longboard	Best wel					Een beetje						Pim stuurde naar zichzelf: Wijk aan zee 07:45 een 7,5. Beetje druk, best clean. Leuke golfjes voor alle boards. Ijmuiden en zandvoort zijn denk ik ook leuk maar wel een 7 denk k ik
28-11-2024		20-6-2024	7:30	8:00	Wijk aan zee	8		Webcam	Fish of funboard	Best wel					Een beetje						Pim stuurde naar zichzelf: Wijk aan zee 07:45 een 7,5. Beetje druk, best clean. Leuke golfjes voor alle boards. Ijmuiden en zandvoort zijn denk ik ook leuk maar wel een 7 denk k ik
28-11-2024		20-6-2024	7:30	8:00	Wijk aan zee	8		Webcam	Shortboard	Best wel					Een beetje						Pim stuurde naar zichzelf: Wijk aan zee 07:45 een 7,5. Beetje druk, best clean. Leuke golfjes voor alle boards. Ijmuiden en zandvoort zijn denk ik ook leuk maar wel een 7 denk k ik
28-11-2024		20-6-2024	7:30	8:00	Zandvoort	8		Schatting a.d.h.v. webcam	Longboard	Best wel					Een beetje						Pim stuurde naar zichzelf: Wijk aan zee 07:45 een 7,5. Beetje druk, best clean. Leuke golfjes voor alle boards. Ijmuiden en zandvoort zijn denk ik ook leuk maar wel een 7 denk k ik
28-11-2024		20-6-2024	7:30	8:00	Zandvoort	8		Schatting a.d.h.v. webcam	Fish of funboard	Best wel					Een beetje						Pim stuurde naar zichzelf: Wijk aan zee 07:45 een 7,5. Beetje druk, best clean. Leuke golfjes voor alle boards. Ijmuiden en zandvoort zijn denk ik ook leuk maar wel een 7 denk k ik
28-11-2024		20-6-2024	7:30	8:00	Zandvoort	8		Schatting a.d.h.v. webcam	Shortboard	Best wel					Een beetje						Pim stuurde naar zichzelf: Wijk aan zee 07:45 een 7,5. Beetje druk, best clean. Leuke golfjes voor alle boards. Ijmuiden en zandvoort zijn denk ik ook leuk maar wel een 7 denk k ik
28-11-2024		24-6-2024	20:00	22:00	Zandvoort	1		Nat pak	Longboard												Pikm stuurde naar zichzelf: 20:00 - 22:00 flat. Natpak
28-11-2024		24-6-2024	20:00	22:00	Zandvoort	1		Nat pak	Fish of funboard												Pikm stuurde naar zichzelf: 20:00 - 22:00 flat. Natpak
28-11-2024		24-6-2024	20:00	22:00	Zandvoort	1		Nat pak	Shortboard												Pikm stuurde naar zichzelf: 20:00 - 22:00 flat. Natpak
28-11-2024		24-6-2024	20:00	22:00	Wijk aan zee	1		Nat pak	Longboard												Pikm stuurde naar zichzelf: 20:00 - 22:00 flat. Natpak
28-11-2024		24-6-2024	20:00	22:00	Wijk aan zee	1		Nat pak	Fish of funboard												Pikm stuurde naar zichzelf: 20:00 - 22:00 flat. Natpak
28-11-2024		24-6-2024	20:00	22:00	Wijk aan zee	1		Nat pak	Shortboard												Pikm stuurde naar zichzelf: 20:00 - 22:00 flat. Natpak
28-11-2024		24-6-2024	20:00	22:00	IJmuiden	1		Nat pak	Longboard												Pikm stuurde naar zichzelf: 20:00 - 22:00 flat. Natpak
28-11-2024		24-6-2024	20:00	22:00	IJmuiden	1		Nat pak	Fish of funboard												Pikm stuurde naar zichzelf: 20:00 - 22:00 flat. Natpak
28-11-2024		24-6-2024	20:00	22:00	IJmuiden	1		Nat pak	Shortboard												Pikm stuurde naar zichzelf: 20:00 - 22:00 flat. Natpak
28-11-2024		28-6-2024	20:15	20:45	Wijk aan zee	7,5		Webcam	Longboard												Pim stuurde naar zichzelf: Wijk ziet er leuk uit voor longboarders om 20:30 op 28-06-2024. Denk een 7.5 voor longboarders Voor fish misch een 6.5 en shortboard een 6
28-11-2024		28-6-2024	20:15	20:45	Wijk aan zee	7		Webcam	Fish of funboard												Pim stuurde naar zichzelf: Wijk ziet er leuk uit voor longboarders om 20:30 op 28-06-2024. Denk een 7.5 voor longboarders Voor fish misch een 6.5 en shortboard een 6
28-11-2024		28-6-2024	20:15	20:45	Wijk aan zee	6		Webcam	Shortboard												Pim stuurde naar zichzelf: Wijk ziet er leuk uit voor longboarders om 20:30 op 28-06-2024. Denk een 7.5 voor longboarders Voor fish misch een 6.5 en shortboard een 6
17-6-2024 11:22:05		12-6-2024	20:00:00	21:45:00	ZV Bloemendaal	8		Nat pak	Fish of funboard	Een beetje	Best wel	Best wel	Best wel	Een beetje	Een beetje	Best wel	Een beetje	Overhead	Een beetje		Maite, Stijn en Pim bij Bloemendaal surfen. Yael was bij Wijk. Was erg goed, niet heel clean maar wel sick! Was best hoog, waren soms barrels. Lagen ook wat longboarders in die leuke golven pakten!
17-6-2024 11:22:05		12-6-2024	20:00:00	21:45:00	Wijk aan zee	8		Nat pak	Fish of funboard	Een beetje	Best wel	Best wel	Best wel		Heel erg	Best wel	Een beetje	Overhead	Een beetje		Maite, Stijn en Pim bij Bloemendaal surfen. Yael was bij Wijk. Was erg goed, niet heel clean maar wel sick! Was best hoog, waren soms barrels. Lagen ook wat longboarders in die leuke golven pakten!
17-6-2024 11:22:05		12-6-2024	20:00:00	21:45:00	ZV Bloemendaal	8		Nat pak	Shortboard	Een beetje	Best wel	Best wel	Best wel	Een beetje	Een beetje	Best wel	Een beetje	Overhead	Een beetje		Maite, Stijn en Pim bij Bloemendaal surfen. Yael was bij Wijk. Was erg goed, niet heel clean maar wel sick! Was best hoog, waren soms barrels. Lagen ook wat longboarders in die leuke golven pakten!
17-6-2024 11:22:05		12-6-2024	20:00:00	21:45:00	Wijk aan zee	8		Nat pak	Shortboard	Een beetje	Best wel	Best wel	Best wel		Heel erg	Best wel	Een beetje	Overhead	Een beetje		Maite, Stijn en Pim bij Bloemendaal surfen. Yael was bij Wijk. Was erg goed, niet heel clean maar wel sick! Was best hoog, waren soms barrels. Lagen ook wat longboarders in die leuke golven pakten!
17-6-2024 11:22:05		12-6-2024	20:00:00	21:45:00	ZV Bloemendaal	8		Nat pak	Longboard	Een beetje	Best wel	Best wel	Best wel	Een beetje	Een beetje	Best wel	Een beetje	Overhead	Een beetje		Maite, Stijn en Pim bij Bloemendaal surfen. Yael was bij Wijk. Was erg goed, niet heel clean maar wel sick! Was best hoog, waren soms barrels. Lagen ook wat longboarders in die leuke golven pakten!
17-6-2024 11:22:05		12-6-2024	20:00:00	21:45:00	Wijk aan zee	8		Nat pak	Longboard	Een beetje	Best wel	Best wel	Best wel		Heel erg	Best wel	Een beetje	Overhead	Een beetje		Maite, Stijn en Pim bij Bloemendaal surfen. Yael was bij Wijk. Was erg goed, niet heel clean maar wel sick! Was best hoog, waren soms barrels. Lagen ook wat longboarders in die leuke golven pakten!
17-06-2024		31-05-2024	10:00:00	12:00:00	IJmuiden	9		Hind sight (Surfweer)													"IJmuiden tussen 10:00 en 12:00 was lekker afgelopen vrijdag" Foto van een guy in een barrel erbij. Staat geen type board bij. Was die ochtend ook heel sick bij Zandvoort!
17-06-2024		10-06-2024	9:30:00	12:00:00	Zandvoort	9		Hind sight (Surfweer)													"Zandvoort was goed vanochtend tussen 09:30 en 12:00. Strakke voorspelling weer Tobias". Staat geen type board bij. Cam bij Wijk zag er die ochtend ook leip uit
17-06-2024		10-06-2024	8:00:00	11:00:00	Wijk aan zee	9		Hind sight (Surfweer)													"Heerlijk vanochtend WaZ" Staat geen type board bij of tijd bij. Cam bij Wijk zag er die ochtend ook leip uit
10-06-2024		10-06-2024	6:30:00	7:30:00	Wijk aan zee	7,5		Cam	Longboard												
10-06-2024		10-06-2024	6:30:00	7:30:00	Wijk aan zee	9		Cam	Fish of funboard												
10-06-2024		10-06-2024	6:30:00	7:30:00	Wijk aan zee	9		Cam	Shortboard												
09-06-2024		09-06-2024	19:00:00	20:00:00	Wijk aan zee	6		Cam	Longboard	Best wel											
09-06-2024		09-06-2024	19:00:00	20:00:00	Wijk aan zee	8		Cam	Fish of funboard	Best wel											
09-06-2024		09-06-2024	19:00:00	20:00:00	Wijk aan zee	8		Cam	Shortboard	Best wel											
07-06-2024		7-6-2024	18:30:00	19:30:00	Wijk aan zee	7		Cam	Longboard												
07-06-2024		7-6-2024	18:30:00	19:30:00	Wijk aan zee	7		Cam	Fish of funboard												
07-06-2024		7-6-2024	18:30:00	19:30:00	Wijk aan zee	5		Cam	Shortboard												
07-06-2024		7-6-2024	21:00:00	21:30:00	Parnassia	4		Nat pak	Longboard						Helemaal niet		Een beetje	Heup-hoog			Met Gwen, Maite en Binkie naar Parnassia gegaan. Pim nam een duik in de zee. Niet clean en ook vrij laag. Aleen shorebreak brak een beetje.
07-06-2024		7-6-2024	21:00:00	21:30:00	Parnassia	3,5		Nat pak	Fish of funboard						Helemaal niet		Een beetje	Heup-hoog			Met Gwen, Maite en Binkie naar Parnassia gegaan. Pim nam een duik in de zee. Niet clean en ook vrij laag. Aleen shorebreak brak een beetje.
07-06-2024		7-6-2024	21:00:00	21:30:00	Parnassia	2,5		Nat pak	Shortboard						Helemaal niet		Een beetje	Heup-hoog			Met Gwen, Maite en Binkie naar Parnassia gegaan. Pim nam een duik in de zee. Niet clean en ook vrij laag. Aleen shorebreak brak een beetje.
6-6-2024 7:17:57		6-6-2024	6:30:00	7:30:00	Wijk aan zee	7,5		Cam	Longboard	Best wel					Een beetje	Een beetje		Borst-hoog	Heel erg		Nabij de pier zag het er erg clean uit! Voor longboarders, fish en ook wel voor shortboarders waarsch. Verder van de pier wat meer choppy, dus bij zandvoort waarsch niet echt heel goed. Voor fish zelfde cijfer als longboard. Shortboard misch 1 of 0.5 lager
06-06-2024		6-6-2024	16:00:00	17:00:00	Wijk aan zee	7,5		Cam	Longboard												
06-06-2024		6-6-2024	16:00:00	17:00:00	Wijk aan zee	7,5		Cam	Fish of funboard												
06-06-2024		6-6-2024	16:00:00	17:00:00	Wijk aan zee	7,5		Cam	Shortboard												
06-06-2024		6-6-2024	16:00:00	17:00:00	Zandvoort	7,5		Eyeball	Longboard												Maite werkte in Zandvoort en zag dat de golven goed waren
06-06-2024		6-6-2024	16:00:00	17:00:00	Zandvoort	7,5		Eyeball	Fish of funboard												Maite werkte in Zandvoort en zag dat de golven goed waren
06-06-2024		6-6-2024	16:00:00	17:00:00	Zandvoort	7,5		Eyeball	Shortboard												Maite werkte in Zandvoort en zag dat de golven goed waren
3-6-2024		1-6-2024	18:00:00	19:00:00	IJmuiden	7		Nat pak	Longboard									Navel-hoog	Heel erg		Bij IJmuiden een duik genomen. Zaten soms best cleane navel hoog golven tussen
3-6-2024		1-6-2024	18:00:00	19:00:00	IJmuiden	6		Nat pak	Fish of funboard									Navel-hoog	Heel erg		Bij IJmuiden een duik genomen. Zaten soms best cleane navel hoog golven tussen
3-6-2024		1-6-2024	18:00:00	19:00:00	IJmuiden	5		Nat pak	Shortboard									Navel-hoog	Heel erg		Bij IJmuiden een duik genomen. Zaten soms best cleane navel hoog golven tussen
3-6-2024		1-6-2024	18:00:00	19:00:00	Zandvoort	4		Eyeball	Longboard												Vanaf IJmuiden zagen we de golven bij Zandvoort. Zag er heel erg messy uit
3-6-2024		1-6-2024	18:00:00	19:00:00	Zandvoort	4		Eyeball	Fish of funboard												Vanaf IJmuiden zagen we de golven bij Zandvoort. Zag er heel erg messy uit
3-6-2024		1-6-2024	18:00:00	19:00:00	Zandvoort	4		Eyeball	Shortboard												Vanaf IJmuiden zagen we de golven bij Zandvoort. Zag er heel erg messy uit
3-6-2024		2-6-2024	12:00:00	13:00:00	Wijk aan zee	6		Cam	Shortboard												
3-6-2024		2-6-2024	12:00:00	13:00:00	Wijk aan zee	6		Cam	Fish of funboard												
3-6-2024		2-6-2024	12:00:00	13:00:00	Wijk aan zee	7		Cam	Longboard												
3-6-2024		3-6-2024	11:30:00	12:30:00	Wijk aan zee	7,5		Cam	Longboard						Best wel			Heup-hoog	Heel erg		Ziet er clean maar klein uit. Veel longboarders die vaak lange golfjes pakken. Voor fish ook nog wel leuk, maar voor shortboarders ziet het er niet goed uit
3-6-2024		3-6-2024	11:30:00	12:30:00	Wijk aan zee	6,5		Cam	Fish of funboard						Best wel			Heup-hoog	Heel erg		Ziet er clean maar klein uit. Veel longboarders die vaak lange golfjes pakken. Voor fish ook nog wel leuk, maar voor shortboarders ziet het er niet goed uit
3-6-2024		3-6-2024	11:30:00	12:30:00	Wijk aan zee	5,5		Cam	Shortboard						Best wel			Heup-hoog	Heel erg		Ziet er clean maar klein uit. Veel longboarders die vaak lange golfjes pakken. Voor fish ook nog wel leuk, maar voor shortboarders ziet het er niet goed uit
3-6-2024		3-6-2024	11:30:00	12:30:00	Zandvoort	7,5		Cam	Longboard						Best wel			Heup-hoog	Heel erg		Ziet er clean maar klein uit. Veel longboarders die vaak lange golfjes pakken. Voor fish ook nog wel leuk, maar voor shortboarders ziet het er niet goed uit
3-6-2024		3-6-2024	11:30:00	12:30:00	Zandvoort	6,5		Cam	Fish of funboard						Best wel			Heup-hoog	Heel erg		Ziet er clean maar klein uit. Veel longboarders die vaak lange golfjes pakken. Voor fish ook nog wel leuk, maar voor shortboarders ziet het er niet goed uit
3-6-2024		3-6-2024	11:30:00	12:30:00	Zandvoort	5,5		Cam	Shortboard						Best wel			Heup-hoog	Heel erg		Ziet er clean maar klein uit. Veel longboarders die vaak lange golfjes pakken. Voor fish ook nog wel leuk, maar voor shortboarders ziet het er niet goed uit
31-5-2024 14:16:40		29-5-2024	19:00:00	21:00:00	ZV Bloemendaal	5,5		Eyeball	?												
31-5-2024 14:14:18		31-5-2024	8:00:00	11:30:00	ZV Bloemendaal	9		Nat pak	Fish of funboard	Heel erg	Heel erg	Heel erg	Best wel	Een beetje	Een beetje	Heel erg	Helemaal niet	Overhead	Helemaal niet		Was heel erg hoog. Voorin helemaal niet clean, maar achterin wel
31-5-2024 14:14:18		31-5-2024	8:00:00	11:30:00	ZV Bloemendaal	9		Nat pak	Shortboard	Heel erg	Heel erg	Heel erg	Best wel	Een beetje	Een beetje	Heel erg	Helemaal niet	Overhead	Helemaal niet		Was heel erg hoog. Voorin helemaal niet clean, maar achterin wel
31-5-2024 14:14:18		31-5-2024	8:00:00	11:30:00	ZV Bloemendaal	7,5		Nat pak	Longboard	Heel erg	Heel erg	Heel erg	Best wel	Een beetje	Een beetje	Heel erg	Helemaal niet	Overhead	Helemaal niet		Was heel erg hoog. Voorin helemaal niet clean, maar achterin wel
23-5-2024 9:13:42		23-5-2024	7:00:00	8:00:00	Wijk aan zee	5,5		Cam	Shortboard									Heup-hoog			
23-5-2024 9:13:42		23-5-2024	7:00:00	8:00:00	Wijk aan zee	6,5		Cam	Fish of funboard									Heup-hoog			
23-5-2024 9:13:42		23-5-2024	7:00:00	8:00:00	Wijk aan zee	7		Cam	Longboard									Heup-hoog			
23-5-2024 9:12:53		22-5-2024	21:00:00	22:00:00	ZV Bloemendaal	6		Nat pak	Longboard	Helemaal niet	Een beetje	Een beetje	Best wel	Heel erg	Helemaal niet	Een beetje	Heel erg	Navel-hoog	Een beetje		
23-5-2024 9:12:53		22-5-2024	21:00:00	22:00:00	ZV Bloemendaal	6		Nat pak	Shortboard	Helemaal niet	Een beetje	Een beetje	Best wel	Heel erg	Helemaal niet	Een beetje	Heel erg	Navel-hoog	Een beetje		
23-5-2024 9:12:53		22-5-2024	21:00:00	22:00:00	ZV Bloemendaal	6		Nat pak	Fish of funboard	Helemaal niet	Een beetje	Een beetje	Best wel	Heel erg	Helemaal niet	Een beetje	Heel erg	Navel-hoog	Een beetje		
21-5-2024 14:54:03		21-5-2024	14:00:00	15:00:00	Wijk aan zee	5,5		Cam	Shortboard	Heel erg	Een beetje					Een beetje		Navel-hoog			
21-5-2024 14:54:03		21-5-2024	14:00:00	15:00:00	Wijk aan zee	7		Cam	Fish of funboard	Heel erg	Een beetje					Een beetje		Navel-hoog			
21-5-2024 14:54:03		21-5-2024	14:00:00	15:00:00	Wijk aan zee	8		Cam	Longboard	Heel erg	Een beetje					Een beetje		Navel-hoog			
16-4-2024 15:24:39		16-4-2024	14:00:00	15:30:00	Wijk aan zee	2		Cam		Helemaal niet			Heel erg		Helemaal niet	Best wel	Heel erg	Overhead	Helemaal niet		
16-4-2024 15:20:08		16-4-2024	14:00:00	15:30:00	ZV Bloemendaal	2		Cam		Helemaal niet	Heel erg	Helemaal niet			Helemaal niet	Heel erg	Heel erg	Overhead	Helemaal niet		
10-4-2024 21:09:09		10-4-2024	17:45:00	19:15:00	Wijk aan zee	8		Nat pak	Fish of funboard	Een beetje	Best wel	Best wel	Best wel	Helemaal niet	Heel erg	Heel erg	Best wel	Overhead	Helemaal niet		
10-4-2024 21:06:47		10-4-2024	18:45:00	19:15:00	Wijk aan zee	8		Nat pak	Fish of funboard	Een beetje	Heel erg	Best wel	Heel erg	Best wel	Heel erg	Heel erg	Best wel	Overhead	Helemaal niet		
10-4-2024 21:05:38		10-4-2024	17:00:00	18:30:00	Wijk aan zee	9		Nat pak	Fish of funboard	Best wel	Heel erg	Best wel	Best wel	Best wel	Heel erg	Best wel	Best wel	Overhead	Helemaal niet		
7-4-2024 19:36:16		7-4-2024	17:00:00	18:00:00	Zandvoort	4		Nat pak	Short board	Een beetje	Helemaal niet	Helemaal niet	Helemaal niet	Best wel	Helemaal niet	Helemaal niet	Best wel	Heup-hoog	Heel erg		
7-4-2024 19:35:10		7-4-2024	17:00:00	18:00:00	Zandvoort	5		Nat pak	Fish of funboard	Een beetje	Helemaal niet	Helemaal niet	Helemaal niet	Best wel	Helemaal niet	Helemaal niet	Best wel	Heup-hoog	Heel erg		
7-4-2024 19:33:38		7-4-2024	17:00:00	18:00:00	Zandvoort	6		Nat pak	Longboard	Een beetje	Helemaal niet	Helemaal niet	Helemaal niet	Best wel	Helemaal niet	Een beetje	Best wel	Heup-hoog	Heel erg		
29-3-2024 9:28:58		29-3-2024	9:00:00	9:30:00	Wijk aan zee	6,5		Cam	Fish of funboard									Navel-hoog			
29-3-2024 9:28:58		29-3-2024	9:00:00	9:30:00	Wijk aan zee	7		Cam	Longboard												
29-3-2024 8:10:16		29-3-2024	7:00:00	8:00:00	Wijk aan zee	7,5		Cam	Fish of funboard	Best wel					Een beetje	Best wel	Een beetje	Borst-hoog	Best wel		Bij de pier helemaal flat. Je ziet de golven zijwaards weggeblazen worden. Zonnig en best clean.
29-3-2024 8:10:16		29-3-2024	7:00:00	8:00:00	Wijk aan zee	8		Cam	Longboard	Best wel					Een beetje	Best wel	Een beetje	Borst-hoog	Best wel		Bij de pier helemaal flat. Je ziet de golven zijwaards weggeblazen worden. Zonnig en best clean.
26-3-2024 18:37:10		26-3-2024	18:00:00	19:00:00	Wijk aan zee	7		Cam	Longboard	Heel erg	Helemaal niet	Een beetje			Een beetje	Helemaal niet		Knie-hoog	Heel erg		
26-3-2024 7:33:07		25-3-2024	17:15:00	18:00:00	ZV Bloemendaal	8,5		Eyeball	Longboard	Heel erg	Een beetje	Best wel	Een beetje	Helemaal niet	Best wel	Een beetje	Helemaal niet	Borst-hoog	Heel erg		
26-3-2024 7:33:07		25-3-2024	16:00:00	17:00:00	Wijk aan zee	8,5		Cam	Longboard	Heel erg	Een beetje	Best wel	Een beetje	Helemaal niet	Heel erg	Een beetje	Helemaal niet	Borst-hoog	Heel erg		
26-3-2024 7:33:07		25-3-2024	16:00:00	17:00:00	Wijk aan zee	8		Cam	Fish of funboard	Heel erg	Een beetje	Best wel	Een beetje	Helemaal niet	Heel erg	Een beetje	Helemaal niet	Borst-hoog	Heel erg		
26-3-2024 7:32:03		25-3-2024	17:15:00	17:00:00	ZV Bloemendaal	7,5		Nat pak	Fish of funboard	Heel erg	Een beetje	Een beetje	Een beetje	Helemaal niet	Best wel	Een beetje	Helemaal niet	Borst-hoog	Heel erg		
24-3-2024 22:14:00		24-3-2024	16:00:00	18:00:00	Wijk aan zee	3		Cam		Helemaal niet	Heel erg		Heel erg		Helemaal niet	Heel erg	Heel erg	Overhead	Helemaal niet		
24-3-2024 22:14:00		24-3-2024	16:00:00	18:00:00	ZV Bloemendaal	3		Cam		Helemaal niet	Heel erg		Heel erg		Helemaal niet	Heel erg	Heel erg	Overhead	Helemaal niet		
20-3-2024 12:49:25		20-3-2024	12:00:00	13:00:00	Wijk aan zee	1		Cam		Heel erg	Helemaal niet	Helemaal niet	Helemaal niet		Helemaal niet	Helemaal niet	Een beetje	Flat	Een beetje		
20-3-2024 12:49:25		20-3-2024	12:00:00	13:00:00	ZV Bloemendaal	1		Cam		Heel erg	Helemaal niet	Helemaal niet	Helemaal niet		Helemaal niet	Helemaal niet	Een beetje	Flat	Een beetje		
17-3-2024 12:14:10		17-3-2024	7:00:00	8:00:00	Wijk aan zee	8		Cam	Longboard	Heel erg	Een beetje	Best wel	Helemaal niet	Helemaal niet	Heel erg	Een beetje	Helemaal niet	Borst-hoog	Heel erg		
17-3-2024 12:14:10		17-3-2024	7:00:00	8:00:00	Wijk aan zee	6,5		Cam	Fish of funboard	Heel erg	Een beetje	Best wel	Helemaal niet	Helemaal niet	Heel erg	Een beetje	Helemaal niet	Borst-hoog	Heel erg		
17-3-2024 12:12:38		17-3-2024	10:00:00	11:30:00	ZV Bloemendaal	6		Nat pak	Fish of funboard	Best wel	Een beetje	Helemaal niet	Een beetje	Helemaal niet	Een beetje	Een beetje	Helemaal niet	Heup-hoog	Best wel		
17-3-2024 12:11:04		17-3-2024	10:00:00	11:00:00	ZV Bloemendaal	7		Nat pak	Fish of funboard	Heel erg	Helemaal niet	Een beetje	Helemaal niet	Een beetje	Een beetje	Helemaal niet	Een beetje	Heup-hoog	Heel erg		
17-3-2024 12:11:01		17-3-2024	10:00:00	11:30:00	ZV Parnassia	3		Nat pak	Short board	Heel erg	Helemaal niet	Een beetje	Helemaal niet	Helemaal niet	Een beetje	Helemaal niet		Knie-hoog	Heel erg		
17-3-2024 12:09:26		17-3-2024	10:00:00	11:30:00	ZV Bloemendaal	6		Nat pak	Longboard	Best wel	Helemaal niet	Een beetje	Helemaal niet	Helemaal niet	Een beetje	Helemaal niet	Helemaal niet	Heup-hoog	Best wel		
17-3-2024 12:08:00		17-3-2024	10:00:00	11:30:00	ZV Parnassia	7		Nat pak	Longboard	Heel erg	Helemaal niet	Best wel	Helemaal niet	Helemaal niet	Een beetje	Helemaal niet	Helemaal niet	Knie-hoog	Heel erg		
17-3-2024 12:05:29		16-3-2024	15:00:00	17:00:00	Wijk aan zee	6		Nat pak	Short board									Heup-hoog			
