Tijdstempel	E-mailadres	Datum	Start tijd	Eind tijd	Spot	Hoe goed was de surf?	Hoe was de surf? Alleen invullen bij een nat pak (: [Mellow]	Type data	Type board	Hoe was de surf? Alleen invullen bij een nat pak (: [Clean]	Hoe was de surf? Alleen invullen bij een nat pak (: [Krachtig]	Hoe was de surf? Alleen invullen bij een nat pak (: [Lange ritjes]	Hoe was de surf? Alleen invullen bij een nat pak (: [Stijle golven]	Hoe was de surf? Alleen invullen bij een nat pak (: [Stroming]	Hoe was de surf? Alleen invullen bij een nat pak (: [Crowd]	Hoe was de surf? Alleen invullen bij een nat pak (: [Hoog]	Hoe was de surf? Alleen invullen bij een nat pak (: [Windy]	Hoe hoog was het?	Hoe was de surf? Alleen invullen bij een nat pak (: [Voor beginners]	Best geschikt voor ...	Data comments
12-3-2024 17:34:44		12-3-2024	17:00:00	18:00:00	Wijk aan zee	8		Cam	Longboard	Heel erg	Een beetje	Best wel	Helemaal niet		Best wel	Een beetje		Heup-hoog	Heel erg		
12-3-2024 17:34:44		12-3-2024	17:00:00	18:00:00	Wijk aan zee	3		Cam	Shortboard	Heel erg	Een beetje	Best wel	Helemaal niet		Best wel	Een beetje		Heup-hoog	Heel erg		
12-3-2024 17:34:44		12-3-2024	17:00:00	18:00:00	Wijk aan zee	5		Cam	Fish of funboard	Heel erg	Een beetje	Best wel	Helemaal niet		Best wel	Een beetje		Heup-hoog	Heel erg		
8-3-2024 17:48:43		8-3-2024	16:30:00	17:30:00	Wijk aan zee	1		Cam			Helemaal niet	Helemaal niet	Helemaal niet			Helemaal niet		Flat			
8-3-2024 17:48:43		8-3-2024	16:30:00	17:30:00	Zandvoort	1		Cam			Helemaal niet	Helemaal niet	Helemaal niet			Helemaal niet		Flat			
2-3-2024 8:51:24		2-3-2024	8:00:00	9:00:00	Wijk aan zee	3		Cam	Longboard	Heel erg	Helemaal niet				Helemaal niet	Helemaal niet		Knie-hoog	Heel erg		
2-3-2024 8:51:24		2-3-2024	8:00:00	9:00:00	Zandvoort	3		Cam	Longboard	Heel erg	Helemaal niet				Helemaal niet	Helemaal niet		Knie-hoog	Heel erg		
2-3-2024 8:48:57		2-3-2024	8:00:00	9:00:00	Wijk aan zee	2		Cam	Fish of funboard	Heel erg	Helemaal niet	Helemaal niet			Helemaal niet	Helemaal niet		Knie-hoog			
2-3-2024 8:48:57		2-3-2024	8:00:00	9:00:00	Zandvoort	2		Cam	Fish of funboard	Heel erg	Helemaal niet	Helemaal niet			Helemaal niet	Helemaal niet		Knie-hoog			
1-3-2024 12:56:01		1-3-2024	12:00:00	13:00:00	Wijk aan zee	3		Cam								Helemaal niet		Knie-hoog			
1-3-2024 12:56:01		1-3-2024	12:00:00	13:00:00	Bloemendaal	3		Cam								Helemaal niet		Knie-hoog			
29-2-2024 11:17:55		29-2-2024	10:30:00	11:30:00	Wijk aan zee	7		Cam	Longboard	Best wel					Een beetje	Helemaal niet		Navel-hoog	Heel erg		
23-2-2024 11:20:34		23-2-2024	11:00:00	12:00:00	ZV Bloemendaal	4		Cam	Fish of funboard	Helemaal niet		Helemaal niet					Heel erg	Head-hoog	Helemaal niet		
23-2-2024 11:20:34		23-2-2024	11:00:00	12:00:00	ZV Bloemendaal	2		Cam	Longboard	Helemaal niet		Helemaal niet					Heel erg	Head-hoog	Helemaal niet		
23-2-2024 11:13:58		23-2-2024	11:00:00	12:00:00	Wijk aan zee	6,5		Cam	Longboard	Een beetje	Een beetje				Helemaal niet	Best wel	Best wel	Head-hoog	Een beetje		
23-2-2024 11:13:58		23-2-2024	11:00:00	12:00:00	Wijk aan zee	7,5		Cam	Fish of funboard	Een beetje	Een beetje				Helemaal niet	Best wel	Best wel	Head-hoog	Een beetje		
15-2-2024 11:07:58		15-2-2024	10:00:00	17:00:00	Wijk aan zee	2		Cam	Longboard		Helemaal niet	Helemaal niet	Helemaal niet		Helemaal niet	Helemaal niet	Helemaal niet	Flat	Heel erg		
15-2-2024 11:07:58		15-2-2024	10:00:00	17:00:00	Zandvoort	2		Cam	Longboard		Helemaal niet	Helemaal niet	Helemaal niet		Helemaal niet	Helemaal niet	Helemaal niet	Flat	Heel erg		
15-2-2024 11:07:58		15-2-2024	10:00:00	17:00:00	Wijk aan zee	1		Cam	Fish of funboard		Helemaal niet	Helemaal niet	Helemaal niet		Helemaal niet	Helemaal niet	Helemaal niet	Flat	Heel erg		
15-2-2024 11:07:58		15-2-2024	10:00:00	17:00:00	Zandvoort	1		Cam	Fish of funboard		Helemaal niet	Helemaal niet	Helemaal niet		Helemaal niet	Helemaal niet	Helemaal niet	Flat	Heel erg		
11-2-2024 10:25:13		11-2-2024	10:00:00	11:00:00	ZV Bloemendaal	2		Cam	Fish of funboard	Heel erg								Knie-hoog			
11-2-2024 10:25:13		11-2-2024	10:00:00	11:00:00	Wijk aan zee	2		Cam	Fish of funboard	Heel erg								Knie-hoog			
11-2-2024 10:20:03		11-2-2024	10:00:00	11:00:00	Wijk aan zee	6		Cam	Longboard	Heel erg	Helemaal niet	Een beetje	Helemaal niet		Helemaal niet	Helemaal niet		Knie-hoog	Heel erg		
11-2-2024 10:20:03		11-2-2024	10:00:00	11:00:00	ZV Bloemendaal	6		Cam	Longboard	Heel erg	Helemaal niet	Een beetje	Helemaal niet		Helemaal niet	Helemaal niet		Knie-hoog	Heel erg		
10-2-2024 14:26:56		10-2-2024	13:00:00	14:00:00	Wijk aan zee	5,5		Cam	Fish of funboard	Heel erg	Een beetje				Heel erg	Een beetje	Een beetje	Navel-hoog	Heel erg		
10-2-2024 14:25:49		10-2-2024	13:00:00	14:00:00	Wijk aan zee	8		Cam	Longboard	Heel erg		Best wel			Best wel	Een beetje	Een beetje	Navel-hoog	Heel erg		
10-2-2024 14:24:35		10-2-2024	11:00:00	12:00:00	ZV Bloemendaal	5,5		Eyeball	Fish of funboard	Heel erg					Helemaal niet	Een beetje	Een beetje	Navel-hoog	Heel erg		
10-2-2024 14:23:22		10-2-2024	11:00:00	12:00:00	ZV Bloemendaal	8		Eyeball	Longboard	Heel erg	Helemaal niet		Helemaal niet		Helemaal niet	Een beetje	Een beetje	Navel-hoog	Heel erg		
10-2-2024 13:50:17		10-2-2024	13:00:00	14:00:00	Wijk aan zee	7,5		Cam	Longboard	Heel erg						Helemaal niet		Heup-hoog			
8-2-2024 17:18:44		8-2-2024	16:00:00	17:00:00	Wijk aan zee	3		Cam	Fish of funboard	Heel erg	Helemaal niet							Heup-hoog			
8-2-2024 17:18:44		8-2-2024	16:00:00	17:00:00	Wijk aan zee	5		Cam	Longboard	Heel erg	Helemaal niet							Heup-hoog			
8-2-2024 17:18:44		8-2-2024	16:00:00	17:00:00	ZV Bloemendaal	3		Cam	Fish of funboard	Heel erg	Helemaal niet							Heup-hoog			
8-2-2024 17:18:44		8-2-2024	16:00:00	17:00:00	ZV Bloemendaal	5		Cam	Longboard	Heel erg	Helemaal niet							Heup-hoog			
8-2-2024 11:48:58		8-2-2024	11:30:00	12:30:00	Wijk aan zee	7		Cam	Longboard	Best wel								Navel-hoog	Heel erg		
7-2-2024 22:58:40		7-2-2024	12:00:00	14:00:00	Wijk aan zee	9		Cam		Heel erg	Heel erg	Heel erg			Heel erg	Best wel	Helemaal niet	Overhead	Een beetje		
7-2-2024 17:20:22		7-2-2024	14:45:00	16:00:00	ZV Bloemendaal	7,5		Nat pak	Fish of funboard	Een beetje	Best wel	Best wel	Best wel	Een beetje	Helemaal niet	Best wel	Een beetje	Head-hoog	Een beetje		
7-2-2024 16:03:13		7-2-2024	13:00:00	14:45:00	ZV Bloemendaal	9		Nat pak	Fish of funboard	Heel erg	Heel erg	Heel erg	Een beetje	Een beetje	Helemaal niet	Best wel	Helemaal niet	Overhead	Best wel		
4-2-2024 17:11:24		4-2-2024	17:00:00	17:30:00	Wijk aan zee	7		Cam		Een beetje						Een beetje		Head-hoog	Best wel		
3-2-2024 10:23:21		3-2-2024	10:00:00	10:30:00	Wijk aan zee	7		Cam	Fish of funboard	Best wel								Borst-hoog	Best wel		
3-2-2024 10:22:17		3-2-2024	10:00:00	10:30:00	Wijk aan zee	8		Cam	Longboard	Best wel						Een beetje		Borst-hoog	Heel erg		
2-2-2024 22:14:21		2-2-2024	12:00:00	13:00:00	Wijk aan zee	6,5		Nat pak	Fish of funboard	Een beetje	Best wel	Een beetje	Heel erg	Een beetje	Een beetje	Best wel	Best wel	Overhead	Helemaal niet		
2-2-2024 22:12:08		2-2-2024	11:00:00	12:00:00	Wijk aan zee	7,5		Nat pak	Fish of funboard	Een beetje	Heel erg	Best wel	Best wel	Een beetje	Best wel	Best wel	Best wel	Overhead	Helemaal niet		
2-2-2024 9:00:53		2-2-2024	8:30:00	9:30:00	Wijk aan zee	8		Cam		Best wel					Een beetje	Best wel		Head-hoog	Best wel		
1-2-2024 14:46:03		1-2-2024	14:00:00	15:00:00	Wijk aan zee	5		Cam		Helemaal niet								Borst-hoog	Een beetje		
1-2-2024 14:46:03		1-2-2024	14:00:00	15:00:00	ZV Bloemendaal	5		Cam		Helemaal niet								Borst-hoog	Een beetje		
28-1-2024 18:41:23		28-1-2024	16:00:00	18:00:00	ZV Parnassia	3		Eyeball	Longboard	Heel erg	Helemaal niet					Helemaal niet		Knie-hoog			
28-1-2024 15:55:41		28-1-2024	15:00:00	16:00:00	ZV Bloemendaal	1		Cam										Flat			
28-1-2024 15:54:27		28-1-2024	15:00:00	16:00:00	Wijk aan zee	1		Cam										Flat			
25-1-2024 8:57:13		25-1-2024	8:00:00	9:00:00	Wijk aan zee	7		Cam		Een beetje						Best wel		Head-hoog	Een beetje		
25-1-2024 8:56:24		25-1-2024	8:00:00	9:00:00	ZV Bloemendaal	4		Eyeball		Een beetje					Helemaal niet	Een beetje	Een beetje	Borst-hoog			
24-1-2024 12:48:01		24-1-2024	12:00:00	13:00:00	Wijk aan zee	3		Cam		Helemaal niet			Heel erg		Helemaal niet	Heel erg			Helemaal niet		
24-1-2024 12:48:01		24-1-2024	12:00:00	13:00:00	ZV Bloemendaal	3		Cam		Helemaal niet			Heel erg		Helemaal niet	Heel erg			Helemaal niet		
23-1-2024 12:57:16		23-1-2024	12:30:00	13:30:00	Wijk aan zee	6		Cam		Helemaal niet	Best wel				Een beetje	Best wel		Head-hoog	Helemaal niet		
22-1-2024 14:01:24		22-1-2024	12:00:00	13:00:00	ZV Bloemendaal	3		Cam		Helemaal niet					Heel erg	Best wel			Helemaal niet		
22-1-2024 13:01:23		22-1-2024	12:00:00	13:00:00	Wijk aan zee	7		Cam		Een beetje						Een beetje		Borst-hoog	Best wel		
21-1-2024 16:56:45		21-1-2024	14:00:00	15:00:00	ZV Parnassia	2		Eyeball		Helemaal niet	Best wel	Helemaal niet		Heel erg	Helemaal niet	Best wel	Heel erg	Overhead	Helemaal niet		
21-1-2024 9:29:50		21-1-2024	9:00:00	10:00:00	Wijk aan zee	4		Cam			Helemaal niet	Helemaal niet	Helemaal niet		Helemaal niet	Helemaal niet		Flat			
19-1-2024 23:12:36		19-1-2024	10:30:00	11:30:00	Wijk aan zee	4		Nat pak	Fish of funboard	Helemaal niet	Heel erg	Helemaal niet	Heel erg	Best wel	Helemaal niet	Heel erg	Een beetje	Overhead	Helemaal niet		
18-1-2024 15:28:20		18-1-2024	15:00:00	16:00:00	Wijk aan zee	4		Cam		Helemaal niet						Een beetje		Navel-hoog			
18-1-2024 15:28:20		18-1-2024	15:00:00	16:00:00	ZV Bloemendaal	4		Cam		Helemaal niet						Een beetje		Navel-hoog			
17-1-2024 10:05:18		17-1-2024	9:00:00	10:00:00	Wijk aan zee	8		Cam	Longboard	Best wel	Een beetje		Helemaal niet			Een beetje		Borst-hoog	Heel erg		
17-1-2024 10:05:18		17-1-2024	9:00:00	10:00:00	Wijk aan zee	7,5		Cam	Fish of funboard	Best wel	Een beetje		Helemaal niet			Een beetje		Borst-hoog	Heel erg		
17-1-2024 10:05:18		17-1-2024	9:00:00	10:00:00	ZV Bloemendaal	8		Cam	Longboard	Best wel	Een beetje		Helemaal niet			Een beetje		Borst-hoog	Heel erg		
17-1-2024 10:05:18		17-1-2024	9:00:00	10:00:00	ZV Bloemendaal	7,5		Cam	Fish of funboard	Best wel	Een beetje		Helemaal niet			Een beetje		Borst-hoog	Heel erg		
16-1-2024 13:32:07		16-1-2024	13:00:00	14:00:00	Wijk aan zee	5		Cam		Helemaal niet											
16-1-2024 13:32:07		16-1-2024	13:00:00	14:00:00	ZV Bloemendaal	5		Cam		Helemaal niet											
16-1-2024 12:37:37		16-1-2024	12:00:00	13:00:00	Wijk aan zee	7		Cam		Een beetje	Heel erg	Een beetje	Best wel		Helemaal niet	Best wel		Head-hoog	Helemaal niet		
16-1-2024 12:36:27		16-1-2024	12:00:00	13:00:00	ZV	5		Cam													
16-1-2024 12:36:27		16-1-2024	12:00:00	13:00:00	IJmuiden	5		Cam													
15-1-2024 13:10:42		15-1-2024	12:30:00	13:30:00	Wijk aan zee	3		Cam		Helemaal niet	Helemaal niet										
14-1-2024 13:03:55		14-1-2024	12:30:00	13:30:00	ZV Bloemendaal	4		Eyeball		Helemaal niet							Best wel	Borst-hoog			
14-1-2024 10:07:44		14-1-2024	9:30:00	10:30:00	Wijk aan zee	7		Cam							Een beetje			Head-hoog	Een beetje		
12-1-2024 11:55:39		12-1-2024	11:00:00	12:00:00	Wijk aan zee	6		Cam		Een beetje								Navel-hoog	Best wel		
12-1-2024 11:55:39		12-1-2024	11:00:00	12:00:00	ZV Bloemendaal	6		Cam		Een beetje								Navel-hoog	Best wel		
12-1-2024 9:11:47		12-1-2024	8:00:00	9:00:00	Wijk aan zee	6		Cam		Een beetje								Navel-hoog	Best wel		
12-1-2024 9:11:47		12-1-2024	8:00:00	9:00:00	ZV Bloemendaal	6		Cam		Een beetje								Navel-hoog	Best wel		
10-1-2024 11:15:40		10-1-2024	9:00:00	11:00:00	Wijk aan zee	1		Cam			Helemaal niet	Helemaal niet	Helemaal niet		Helemaal niet	Helemaal niet		Flat			
10-1-2024 11:15:40		10-1-2024	9:00:00	11:00:00	ZV Bloemendaal	1		Cam			Helemaal niet	Helemaal niet	Helemaal niet		Helemaal niet	Helemaal niet		Flat			
9-1-2024 10:08:19		9-1-2024	8:00:00	11:00:00	ZV Bloemendaal	1		Cam			Helemaal niet	Helemaal niet	Helemaal niet		Helemaal niet	Helemaal niet		Flat			
9-1-2024 10:04:06		9-1-2024	8:00:00	11:00:00	Wijk aan zee	1		Cam			Helemaal niet	Helemaal niet	Helemaal niet		Helemaal niet	Helemaal niet		Flat			
8-1-2024 9:58:07		8-1-2024	9:00:00	10:00:00	Wijk aan zee	1		Cam			Helemaal niet	Helemaal niet	Helemaal niet		Helemaal niet	Helemaal niet		Flat			
8-1-2024 9:58:07		8-1-2024	9:00:00	10:00:00	ZV Bloemendaal	1		Cam			Helemaal niet	Helemaal niet	Helemaal niet		Helemaal niet	Helemaal niet		Flat			
7-1-2024 9:12:26		7-1-2024	8:00:00	10:00:00	ZV Bloemendaal	1		Cam			Helemaal niet	Helemaal niet	Helemaal niet		Helemaal niet	Helemaal niet		Flat			
7-1-2024 8:50:30		7-1-2024	7:00:00	10:00:00	Wijk aan zee	1		Cam			Helemaal niet	Helemaal niet	Helemaal niet		Helemaal niet	Helemaal niet		Flat			
5-1-2024 8:41:12		5-1-2024	8:00:00	9:00:00	Wijk aan zee	7		Cam	Longboard	Heel erg	Helemaal niet	Een beetje	Helemaal niet	Helemaal niet	Helemaal niet	Helemaal niet	Helemaal niet	Heup-hoog			
5-1-2024 8:41:12		5-1-2024	8:00:00	9:00:00	Wijk aan zee	5		Cam	Shortboard	Heel erg	Helemaal niet	Een beetje	Helemaal niet	Helemaal niet	Helemaal niet	Helemaal niet	Helemaal niet	Heup-hoog			
5-1-2024 8:41:12		5-1-2024	8:00:00	9:00:00	Wijk aan zee	6		Cam	Fish of funboard	Heel erg	Helemaal niet	Een beetje	Helemaal niet	Helemaal niet	Helemaal niet	Helemaal niet	Helemaal niet	Heup-hoog			
4-1-2024 15:47:03		4-1-2024	15:00:00	16:00:00	Wijk aan zee	6		Cam	Fish of funboard									Schouder-hoog			
4-1-2024 15:47:03		4-1-2024	15:00:00	16:00:00	ZV Bloemendaal	6		Cam	Fish of funboard									Schouder-hoog			
4-1-2024 15:47:03		4-1-2024	15:00:00	16:00:00	Wijk aan zee	7		Cam	Longboard									Schouder-hoog			
4-1-2024 15:47:03		4-1-2024	15:00:00	16:00:00	ZV Bloemendaal	7		Cam	Longboard									Schouder-hoog			
4-1-2024 9:26:36		4-1-2024	8:00:00	9:00:00	ZV Bloemendaal	7		Cam	Fish of funboard	Best wel		Een beetje				Een beetje	Helemaal niet	Navel-hoog			
4-1-2024 9:26:36		4-1-2024	8:00:00	9:00:00	ZV Bloemendaal	8		Cam	Longboard	Best wel		Een beetje				Een beetje	Helemaal niet	Navel-hoog			
4-1-2024 9:25:17		4-1-2024	8:00:00	9:00:00	Wijk aan zee	7		Cam	Fish of funboard	Best wel	Helemaal niet	Een beetje			Best wel	Helemaal niet	Helemaal niet	Navel-hoog			
4-1-2024 9:25:17		4-1-2024	8:00:00	9:00:00	Wijk aan zee	8		Cam	Longboard	Best wel	Helemaal niet	Een beetje			Best wel	Helemaal niet	Helemaal niet	Navel-hoog			
3-1-2024 12:24:13		3-1-2024	11:00:00	12:00:00	Wijk aan zee	6,5		Cam													
1-1-2024 14:58:37		30-12-2023	13:30:00	14:30:00	ZV Parnassia	4,5		Eyeball		Helemaal niet	Best wel				Helemaal niet	Best wel	Best wel				
1-1-2024 13:21:00		1-1-2024	13:00:00	14:00:00	ZV Bloemendaal	3		Eyeball		Helemaal niet	Best wel	Helemaal niet		Heel erg	Helemaal niet	Heel erg	Heel erg	Overhead			
1-1-2024 9:55:10		1-1-2024	9:30:00	10:30:00	ZV Bloemendaal	3		Cam		Helemaal niet					Helemaal niet						
1-1-2024 9:54:12		1-1-2024	9:30:00	10:30:00	Wijk aan zee	4		Cam		Helemaal niet					Helemaal niet						
29-12-2023 15:11:56		29-12-2023	14:30:00	15:30:00	Wijk aan zee	7		Cam		Helemaal niet					Helemaal niet	Best wel		Head-hoog			
28-12-2023 10:22:38		27-12-2023	14:30:00	15:30:00	Wijk aan zee	6,5		Nat pak	Fish of funboard	Heel erg						Helemaal niet		Navel-hoog			Berry was gaan surfen zei hij via Whatsapp
27-12-2023 14:39:23		27-12-2023	12:00:00	13:00:00	ZV Bloemendaal	8		Cam		Heel erg						Een beetje	Een beetje	Borst-hoog			
27-12-2023 14:38:41		27-12-2023	14:00:00	15:00:00	Wijk aan zee	7		Cam		Heel erg						Een beetje		Navel-hoog			
27-12-2023 14:37:29		27-12-2023	12:00:00	13:00:00	Wijk aan zee	8		Cam		Heel erg					Heel erg	Een beetje	Een beetje	Navel-hoog			
26-12-2023 9:19:51		26-12-2023	8:30:00	9:30:00	Wijk aan zee	3		Cam		Helemaal niet					Helemaal niet	Best wel	Heel erg	Head-hoog			
26-12-2023 9:18:45		26-12-2023	8:30:00	9:30:00	ZV Bloemendaal	2		Eyeball		Helemaal niet		Helemaal niet			Helemaal niet	Best wel	Heel erg	Head-hoog			
25-12-2023 11:37:53		25-12-2023	11:30:00	12:00:00	Wijk aan zee	7		Cam										Borst-hoog			
21-12-2023 14:03:26		21-12-2023	13:00:00	15:00:00	Wijk aan zee	4		Cam		Helemaal niet	Heel erg	Helemaal niet			Helemaal niet	Heel erg	Heel erg	Overhead			
20-12-2023 13:39:23		20-12-2023	12:00:00	13:00:00	ZV Bloemendaal	4		Cam		Helemaal niet						Best wel	Best wel	Overhead			
17-12-2023 16:46:03		17-12-2023	8:00:00	9:00:00	Wijk aan zee	5		Cam													
16-12-2023 15:43:36		12-11-2023	15:00:00	17:00:00	Wijk aan zee	6		Nat pak	Short board												
11-12-2023 9:57:49		10-12-2023	15:00:00	17:00:00	IJmuiden	6		Nat pak	Short board									Borst-hoog			
10-12-2023 23:03:27		10-12-2023	15:45:00	17:00:00	Wijk aan zee	7		Nat pak	Fish of funboard	Een beetje	Heel erg	Best wel	Best wel	Een beetje	Best wel	Heel erg	Best wel	Overhead			
10-12-2023 18:21:13		10-12-2023	11:00:00	13:00:00	ZV Parnassia	1		Eyeball		Helemaal niet	Heel erg	Helemaal niet			Helemaal niet	Heel erg	Heel erg	Overhead			
10-12-2023 10:52:56		10-12-2023	10:30:00	11:30:00	Wijk aan zee	3		Cam		Helemaal niet		Helemaal niet				Heel erg		Overhead			
10-12-2023 10:52:56		10-12-2023	10:30:00	11:30:00	ZV Bloemendaal	3		Cam		Helemaal niet		Helemaal niet				Heel erg		Overhead			
10-12-2023 9:02:34		10-12-2023	8:30:00	9:30:00	ZV Bloemendaal	3		Cam		Helemaal niet	Heel erg	Helemaal niet	Heel erg		Helemaal niet	Heel erg	Heel erg	Overhead			
10-12-2023 9:01:26		10-12-2023	8:30:00	9:30:00	Wijk aan zee	3		Cam		Helemaal niet	Heel erg	Helemaal niet	Heel erg		Helemaal niet	Heel erg	Heel erg	Overhead			
9-12-2023 15:59:14		9-12-2023	13:00:00	14:00:00	Wijk aan zee	7,5		Cam		Best wel						Een beetje		Borst-hoog			Zag er hoger uit dan eerder op de cam van wijk
9-12-2023 15:59:14		9-12-2023	13:00:00	14:00:00	ZV Bloemendaal	7,5		Cam		Best wel						Een beetje		Borst-hoog			Zag er hoger uit dan eerder op de cam van wijk
9-12-2023 10:57:35		9-12-2023	10:30:00	11:30:00	ZV Bloemendaal	6,5		Cam		Best wel						Een beetje		Heup-hoog			Lagen wat longboarders in bij Wijk, klein maar clean
9-12-2023 10:56:29		9-12-2023	10:30:00	11:30:00	Wijk aan zee	6,5		Cam		Best wel						Een beetje		Heup-hoog			Lagen wat longboarders in bij Wijk, klein maar clean
9-12-2023 9:18:28		9-12-2023	8:00:00	9:00:00	ZV Bloemendaal	4		Cam		Best wel						Helemaal niet		Knie-hoog			Mini golven op cam wijk, verder van de pier ook. Lag 1 longboarder in
9-12-2023 9:17:27		9-12-2023	8:00:00	9:00:00	Wijk aan zee	4		Cam		Best wel						Helemaal niet		Knie-hoog			Mini golven op cam wijk, verder van de pier ook. Lag 1 longboarder in
5-12-2023 14:51:43		5-12-2023	14:00:00	15:00:00	Wijk aan zee	4		Cam								Helemaal niet		Heup-hoog			
5-12-2023 14:51:43		5-12-2023	14:00:00	15:00:00	ZV Bloemendaal	4		Cam								Helemaal niet		Heup-hoog			
2-12-2023 14:15:06		2-12-2023	14:00:00	15:00:00	Wijk aan zee	4,5		Cam								Helemaal niet					
2-12-2023 14:15:06		2-12-2023	14:00:00	15:00:00	ZV Bloemendaal	4,5		Cam								Helemaal niet					En longboarder wat verder van de pier met mini golfjes
1-12-2023 12:46:18		1-12-2023	12:00:00	13:00:00	ZV Bloemendaal	6		Cam	Longboard	Best wel						Helemaal niet		Knie-hoog			Longboarders pakten nog wel wat golfjes bij Wijk. Best clean en windstil. Dus met Longboard zou het leuk zijn geweest
1-12-2023 12:45:17		1-12-2023	12:00:00	13:00:00	Wijk aan zee	6		Cam	Longboard	Best wel						Helemaal niet		Knie-hoog			Longboarders pakten nog wel wat golfjes bij Wijk. Best clean en windstil. Dus met Longboard zou het leuk zijn geweest
28-11-2023 14:16:17		28-11-2023	14:00:00	14:30:00	ZV Bloemendaal	4		Eyeball		Best wel	Helemaal niet				Helemaal niet	Helemaal niet		Knie-hoog			
26-11-2023 11:31:04		26-11-2023	9:00:00	10:00:00	ZV Bloemendaal	5		Cam		Helemaal niet											
26-11-2023 10:01:11		26-11-2023	9:00:00	10:00:00	Wijk aan zee	6		Cam		Helemaal niet						Een beetje					
14-11-2023 15:09:15		13-11-2023	15:00:00	16:00:00	Wijk aan zee	7		Eyeball													
14-11-2023 15:07:28		13-11-2023	16:00:00	17:00:00	Wijk aan zee	6		Nat pak	Fish of funboard	Helemaal niet	Heel erg	Een beetje	Heel erg	Best wel	Helemaal niet	Heel erg	Heel erg	Overhead			
13-11-2023 12:49:31		13-11-2023	12:00:00	13:00:00	ZV Bloemendaal	3		Cam								Helemaal niet		Knie-hoog			
13-11-2023 12:47:41		13-11-2023	12:00:00	13:00:00	Wijk aan zee	1		Cam								Helemaal niet		Flat			
8-11-2023 15:39:24		8-11-2023	13:00:00	14:00:00	Wijk aan zee	7		Nat pak	Fish of funboard	Best wel	Een beetje	Een beetje	Een beetje	Een beetje	Een beetje	Een beetje	Best wel				
8-11-2023 15:37:15		8-11-2023	12:00:00	13:00:00	Wijk aan zee	9		Nat pak	Fish of funboard	Best wel	Heel erg	Heel erg	Best wel	Een beetje	Een beetje	Heel erg	Best wel	Overhead			
4-11-2023 13:52:11		4-11-2023	10:30:00	12:30:00	Wijk aan zee	8		Nat pak	Fish of funboard	Best wel	Best wel	Best wel	Een beetje	Helemaal niet	Heel erg	Een beetje	Een beetje				
2-11-2023 17:26:47		2-11-2023	17:00:00	17:30:00	Wijk aan zee	7		Cam													Hoge golven, maar zieke wind, stroming en klotsbak. Bij pier twee surfers, lijkt een beetje surfbaar misch zelfs een 7
2-11-2023 15:41:16		2-11-2023	15:00:00	16:00:00	Wijk aan zee	5		Cam									Heel erg				Hoge golven, maar zieke wind, stroming en klotsbak. Bij pier kleine golven
2-11-2023 15:41:16		2-11-2023	15:00:00	16:00:00	ZV Bloemendaal	3		Cam									Heel erg				Hoge golven, maar zieke wind, stroming en klotsbak.
2-11-2023 10:09:14		2-11-2023	8:30:00	10:30:00	Wijk aan zee	1		Cam								Helemaal niet					Bij de pier helemaal flat, verderop hele kleine golfjes
29-10-2023 12:13:36		29-10-2023	11:00:00	13:00:00	ZV Bloemendaal	5		Eyeball													
23-10-2023 17:21:17		23-10-2023	16:00:00	18:00:00	Wijk aan zee	5		Cam								Helemaal niet					
21-10-2023 18:57:03		18-10-2023	12:00:00	15:00:00	IJmuiden	1		Eyeball													
21-10-2023 11:46:21		21-10-2023	10:00:00	10:45:00	ZV Bloemendaal	7		Nat pak	Fish of funboard	Een beetje	Best wel	Een beetje	Best wel	Een beetje	Helemaal niet	Best wel	Een beetje				
21-10-2023 11:44:40		20-10-2023	17:30:00	18:45:00	ZV Parnassia	9		Nat pak	Fish of funboard	Heel erg	Heel erg	Heel erg	Heel erg	Een beetje	Helemaal niet	Heel erg	Best wel				
20-10-2023 21:27:11		20-10-2023	17:00:00	19:00:00	ZV Parnassia	8		Nat pak	Fish of funboard	Heel erg	Heel erg	Een beetje	Best wel	Een beetje	Helemaal niet	Heel erg	Helemaal niet				
20-10-2023 21:25:45		20-10-2023	16:30:00	17:15:00	ZV Parnassia	9		Nat pak	Fish of funboard	Heel erg	Heel erg	Best wel	Heel erg	Een beetje	Helemaal niet	Heel erg	Helemaal niet				
17-10-2023 12:25:38		16-10-2023	14:45:00	18:45:00	ZV Bloemendaal	9		Nat pak	Short board	Heel erg	Heel erg	Best wel	Heel erg	Best wel	Best wel	Heel erg	Helemaal niet				
16-10-2023 22:13:53		16-10-2023	16:00:00	18:00:00	ZV Parnassia	9		Nat pak	Longboard	Heel erg	Heel erg	Best wel	Best wel	Een beetje	Een beetje	Best wel	Helemaal niet				
12-10-2023 20:15:14		12-10-2023	18:30:00	19:15:00	ZV Parnassia	8		Nat pak	Fish of funboard	Heel erg	Best wel	Best wel	Best wel	Helemaal niet	Best wel	Best wel	Helemaal niet				
12-10-2023 20:14:09		12-10-2023	14:00:00	16:30:00	ZV Bloemendaal	7		Nat pak	Fish of funboard	Best wel	Een beetje	Een beetje	Een beetje	Best wel	Een beetje	Best wel	Helemaal niet				
10-10-2023 14:43:34		10-10-2023	14:15:00	15:14:00	Wijk aan zee	6		Cam													
9-10-2023 9:58:11		8-10-2023	16:00:00	17:00:00	Texel paal 17	8		Nat pak	Longboard	Heel erg	Best wel	Best wel	Best wel	Een beetje	Een beetje	Best wel	Een beetje				
9-10-2023 9:56:45		8-10-2023	9:00:00	11:00:00	Texel paal 17	7		Nat pak	Longboard	Best wel	Best wel	Helemaal niet	Heel erg	Een beetje	Een beetje	Heel erg	Een beetje				
